index,id,org_id,url,species,breed_primary,breed_secondary,breed_mixed,breed_unknown,color_primary,color_secondary,color_tertiary,age,sex,size,coat,fixed,house_trained,declawed,special_needs,shots_current,env_children,env_dogs,env_cats,name,status,posted,contact_city,contact_state,contact_zip,contact_country,stateQ,accessed,description
0,46042150,NV163,https://www.petfinder.com/dog/harley-46042150/nv/las-vegas/animal-network-nv163/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,American Staffordshire Terrier,Mixed Breed,TRUE,FALSE,White / Cream,Yellow / Tan / Blond / Fawn,,Senior,Male,Medium,Short,TRUE,TRUE,,FALSE,TRUE,,,,HARLEY,adoptable,2019-09-20T16:37:59+0000,Las Vegas,NV,89147,US,89009,9/20/2019,Harley is not sure how he wound up at shelter in his senior years but as you see from the pictures the shelter asked if we could find a real home for this active senior boy. You would never know he is 9 years old. Very playful and loves humans and all the dogs he has met at adoptions he seems to like. He is 59 lbs so still pretty strong for a senior but loves walks and you have to love his ears. If you would like to meet this happy go lucky boy please contact AdoptAnimalNetwork@gmail.com. Updated pictures this Sunday.
1,46042002,NV163,https://www.petfinder.com/dog/biggie-46042002/nv/las-vegas/animal-network-nv163/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Pit Bull Terrier,Mixed Breed,TRUE,FALSE,Brown / Chocolate,White / Cream,,Adult,Male,Large,Short,TRUE,TRUE,,FALSE,TRUE,,,,BIGGIE,adoptable,2019-09-20T16:24:57+0000,Las Vegas,NV,89147,US,89009,9/20/2019,"6 year old Biggie has lost his home and really wants a home of his own. We are getting more information about him, does well with other dogs if introduced properly. We know he is a big cuddle bunny but more info and pictures will be up Sunday. If you want to meet Biggie please contact AdoptAnimalNetwork@gmail.com"
2,46040898,NV99,https://www.petfinder.com/dog/ziggy-46040898/nv/mesquite/city-of-mesquite-animal-shelter-nv99/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Shepherd,,FALSE,FALSE,Brindle,,,Adult,Male,Large,Short,TRUE,FALSE,,FALSE,TRUE,,,,Ziggy,adoptable,2019-09-20T14:10:11+0000,Mesquite,NV,89027,US,89009,9/20/2019,"Approx 2 years old.
 Did I catch your eye? I don't blame you if you had to stop and stare, I am quite cute if I do say so myself.  I'm Ziggy and I think you look like a wonderful choice for my forever friend! I don't give my heart away at the drop of a hat, but if you will give me some time and space to settle in and adjust to my new life, we can be buddies. Once I'm comfortable, I love to go on walks, play, and spend time curled up with my best friends. 
Ziggy is shy  until he knows you and feels safe. He was found as a stray so we have no history on him. He is learning to trust, loves being petted and having belly rubs. He will follow you around the yard. He knows sit and is learning to walk on a leash. He is unsure about what toys are for but shows interest in them.
Beautiful colors in his brindle coat. 


Adoption fee $60 (cash or check) includes neuter, rabies and DHPPC vaccination"
3,46039877,NV202,https://www.petfinder.com/dog/gypsy-46039877/nv/pahrump/pets-are-worth-saving-paws-nv202/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,German Shepherd Dog,,FALSE,FALSE,,,,Baby,Female,Large,,FALSE,FALSE,,FALSE,FALSE,,,,Gypsy,adoptable,2019-09-20T10:08:22+0000,Pahrump,NV,89048,US,89009,9/20/2019,
4,46039306,NV184,https://www.petfinder.com/dog/theo-46039306/nv/henderson/wagging-tails-rescue-nv184/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Dachshund,,FALSE,FALSE,,,,Young,Male,Small,Long,TRUE,FALSE,,FALSE,TRUE,TRUE,TRUE,TRUE,Theo,adoptable,2019-09-20T06:48:30+0000,Henderson,NV,89052,US,89009,9/20/2019,"Theo is a friendly dachshund mix who gets along well with other dogs in his size range. This cute boy is on the submissive side and will thrive in a home with lots of love to grow his confidence. He is approximately 8 lbs and 1 year old. Meet me Saturday from 11 to 1 at Petco, 645 S. Green Valley Pkwy in Henderson.  If you are interested in adopting please submit an application at www.waggingtailsrescue.org."
5,46039304,NV184,https://www.petfinder.com/dog/oliver-46039304/nv/henderson/wagging-tails-rescue-nv184/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Boxer,Beagle,TRUE,FALSE,,,,Baby,Male,Medium,Short,TRUE,FALSE,,FALSE,TRUE,TRUE,TRUE,TRUE,Oliver,adoptable,2019-09-20T06:43:59+0000,Henderson,NV,89052,US,89009,9/20/2019,"Oliver was born around mid-June and came to us recently after living most of his life left in a backyard. He is loving getting all of the love and attention that he can in his foster home, discovering fun toys and just how comfy the couch is! We are guessing him to be primarily Boxer/Beagle and around 50 lbs when fully grown. 

Meet me Saturday from 11 to 1 at Petco, 645 S. Green Valley Pkwy in Henderson.  If you are interested in adopting please submit an application at www.waggingtailsrescue.org."
6,46039303,NV184,https://www.petfinder.com/dog/macadamia-46039303/nv/henderson/wagging-tails-rescue-nv184/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Italian Greyhound,Chihuahua,TRUE,FALSE,,,,Baby,Female,Small,Short,TRUE,FALSE,,FALSE,TRUE,TRUE,TRUE,TRUE,Macadamia,adoptable,2019-09-20T06:42:30+0000,Henderson,NV,89052,US,89009,9/20/2019,"Macadamia was born around July 8th and donât let her serious face fool you, this girl is all puppy mischief and fun! She is expected to be approximately 12 lbs when fully grown. Meet me Saturday from 11 to 1 at Petco, 645 S. Green Valley Pkwy in Henderson.  If you are interested in adopting please submit an application at www.waggingtailsrescue.org."
7,46039302,NV184,https://www.petfinder.com/dog/dodger-46039302/nv/henderson/wagging-tails-rescue-nv184/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Cattle Dog,,TRUE,FALSE,,,,Baby,Male,Medium,Medium,TRUE,FALSE,,FALSE,TRUE,TRUE,TRUE,TRUE,Dodger,adoptable,2019-09-20T06:40:08+0000,Henderson,NV,89052,US,89009,9/20/2019,"Dodger is a handsome, smart Heeler mix who was born on May 26th. He has a lot of energy and needs an active home. He weighs 22 lbs currently and is estimated to be around 50 lbs when fully grown. Meet me Saturday from 11 to 1 at Petco, 645 S. Green Valley Pkwy in Henderson.  If you are interested in adopting please submit an application at www.waggingtailsrescue.org."
8,46039301,NV184,https://www.petfinder.com/dog/huckleberry-46039301/nv/henderson/wagging-tails-rescue-nv184/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Cattle Dog,,TRUE,FALSE,,,,Baby,Female,Medium,Medium,TRUE,FALSE,,FALSE,TRUE,TRUE,TRUE,TRUE,Huckleberry,adoptable,2019-09-20T06:37:05+0000,Henderson,NV,89052,US,89009,9/20/2019,"Huckleberry is a friendly girl who was born May 26th. She is full of energy and will be best suited to a home with the time and patience for a puppy. She weighs 22 lbs currently  and is expected to be around 50 lbs when fully grown.Meet me Saturday from 11 to 1 at Petco, 645 S. Green Valley Pkwy in Henderson.  If you are interested in adopting please submit an application at www.waggingtailsrescue.org."
9,46038709,NV184,https://www.petfinder.com/dog/fagin-46038709/nv/henderson/wagging-tails-rescue-nv184/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Cattle Dog,,TRUE,FALSE,,,,Baby,Male,Medium,Medium,TRUE,FALSE,,FALSE,TRUE,TRUE,TRUE,TRUE,Fagin,adoptable,2019-09-20T05:00:51+0000,Henderson,NV,89052,US,89009,9/20/2019,"Fagin was born on May 26th and is a smart, inquisitive boy who will excel in a home with the time and training for a puppy. He weighs 22 lbs and is expected to be approximately 50 lbs when fully grown. Meet me Saturday from 11 to 1 at Petco, 645 S. Green Valley Pkwy in Henderson.  If you are interested in adopting please submit an application at www.waggingtailsrescue.org."
